0533+37   RU AUR    
0533+37B  116 COMP S
0533+60   BY CAM    
0533-04   V1143 ORI 
0533-05   OR NEB GP7
0533-58   TW PIC    
0534+28   AB TAU    
0534+31A  NO AUR    
0534+31B  NSV 2537  
0534+68   CRAGG1 CAM
0534-02   BG ORI    
0534-66   A 0538-66 
0534-69   SN LMC 87 
0535+12   NSV 2557  
0535+16   NSV 2560  
0535+31   U AUR     
0535+31B  67 COMP SW
0535+38   SZ AUR    
0535+68   AU CAM    
0535-09   V350 ORI  
0535-55   RY PIC    
0536+14   FX ORI    
0536+14B  97 COMP NE
0536-04   Y ORI     
0536-04B  VAR? NW   
0536-69   NSV 2499  
0537+32   VAR AUR   
0537-69   HD 269858 
0538+00A  GT ORI    
0538+00B  NSV 2599  
0538+43   WZ AUR    
0539+00   V351 ORI  
0539+00B  93 COMP SE
0539+09   FU ORI    
0539+09B  87 COMP SW
0539+09C  89 COMP SW
0539+13   ST TAU    
0539+15   CP TAU    
0539+15B  89 VAR? NW
0539+18   EU TAU    
0539+20   Y TAU     
0539+24   TU TAU    
0540+12   QS ORI    
0540+21   NSV 2626  
0540+54   V437 AUR  
0540-41   TX COL    
0540-46   W PIC     
0541+27   AW TAU    
0541+28   FS AUR    
0541+30   FU AUR    
0541+54   TAVJ0550+5
0541-64   SN 2082   
0541-69A  HDE 269858
0541-69B  CPD 69420 
0542+22   V421 TAU  
0543+19   SU TAU    
0543-09   NSV 2641  
0543-31   S COL     
0544+15   EM TAU    
0544-64   HV 12842  
0546+14   SAO 94937 
0546+15A  Z TAU     
0546+15B  RS TAU    
0546+15C  RU TAU    
0546+15D  COMPAN. Z 
0546+33   NSV 2681  
0546-29   R COL     
0546-75   R MEN     
0547+15   SAO 94983 
0547+19   VAR ORI   
0547-05   CN ORI    
0548+41   XY AUR    
0548-01   NSV 2721  
0549+07   ALPHA ORI 
0549+20A  U ORI     
0549+20C  106 VAR? S
0549+20D  BD 20 1171
0549+20E  103 COMP S
0549+28   HDE 249119
0549+32   AY AUR    
0549+32B  STAR A SE 
0549+32C  STAR B SE 
0549+45   TW AUR    
0549+48   LO AUR    
0549+74   V CAM     
0549-06   UV ORI    
0551+20   NSV 2736  
0551+22   BQ ORI    
0552+55   TAV0556+55
0553+35   CO AUR    
0553+53   Z AUR     
0553+53B  108 COMP E
0553+53C  85 COMP E 
0553+53D  105 COMP S
0554+20   V529 ORI  
0554+39   AZ AUR    
0554+41   KK AUR    
0556+10   DP ORI    
0556+46A  RS AUR    
0556+46B  SV AUR    
0556+46C  95 COMP NE
0556-02   V352 ORI  
0556-86   R OCT     
0557+16   RR ORI    
0557+16B  VAR1 NW   
0557+16C  VAR2 NW   
0557+28   BS AUR    
0557+42   YY AUR    
0557+47   XZ AUR    
0557+47B  10.2 COMP 
0557-23   SN 2139   
0558+23   1 GEM     
0559+36   KP AUR    
0600+13   DY ORI    
0600-16   SS LEP    
0601-24   S LEP     
0602+22   SS GEM    
0602+22B  109 VAR? W
0602+22C  85 VAR? W 
0602+34   NSV 2841  
0602+46   VY AUR    
0602+47   GSC3378485
0603+23   PU GEM    
